BUILDING_NAME,ROOM_NUMBER,ROOM_CAPACITY,ACADEMIC_GROUP_CODE,ACADEMIC_ORGANIZATION_CODE,ACADEMIC_CARRIER_CODE,CAMPUS_CODE#$, 2
6e39515d4c535859835ca3848661311c,e13a43eb28b539960c90cbf2400173ac,25,ARSC,B-ANTH,UGRD,"BLDR"#$, 10
6e39515d4c535859835ca3848661311c,eba21e6609acfe0a10af27e1133b4912,35,ARSC,B-ANTH,UGRD,"CEPS"#$, 10
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,20,ARSC,B-ANTH,UGRD,"BLDR"#$, 6
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,15,ARSC,B-ANTH,GRAD,"BLDR"#$, 4
71189effb81ef7dfe88c60a711c9e6ad,2ffa8d1fed94909081c9233eb22b387e,50,ARSC,B-APPM,UGRD,"BLDR"#$, 3
0c08448ccf2a95bce14e1139164a5337,416065447fd371e17fe39e90c81d03b0,48,ARSC,B-APPM,UGRD,"BLDR"#$, 9
71189effb81ef7dfe88c60a711c9e6ad,2ffa8d1fed94909081c9233eb22b387e,48,ARSC,B-APPM,UGRD,"BLDR"#$, 2
b1377fa978880aeb2265a1d6276b5b67,3c50ad22260915aad2532c999afa1486,40,ARSC,B-APPM,UGRD,"BLDR"#$, 4
71189effb81ef7dfe88c60a711c9e6ad,a49438f945f3063e470c3bcb9fc2ce73,35,ARSC,B-APPM,UGRD,"BLDR"#$, 9
71189effb81ef7dfe88c60a711c9e6ad,72eee348d0889e2baaf30bae13651403,35,ARSC,B-APPM,UGRD,"BLDR"#$, 7
0c08448ccf2a95bce14e1139164a5337,cbaccd6a04b6a459ba6c5249a9636dc0,35,ARSC,B-APPM,UGRD,"BLDR"#$, 4
0c08448ccf2a95bce14e1139164a5337,416065447fd371e17fe39e90c81d03b0,40,ARSC,B-APPM,UGRD,"BLDR"#$, 5
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,100,ARSC,B-APPM,GRAD,"BLDR"#$, 5
db45ff18d38db0c1f1b142e6966533e3,20c5a172375d6ad3e0660a9cff3c7ae6,50,CMCI,B-APRD,UGRD,"BLDR"#$, 6
db45ff18d38db0c1f1b142e6966533e3,20c5a172375d6ad3e0660a9cff3c7ae6,40,CMCI,B-APRD,UGRD,"BLDR"#$, 1
c83d5f85c7408463699185856a1f421b,0bcf045eccadd2eea9dccf9118640b37,40,CMCI,B-APRD,UGRD,"BLDR"#$, 5
0e96ade5995633e969f8c72313428776,c2ba2705bd00a984b3e72da3815ab060,40,CMCI,B-APRD,UGRD,"BLDR"#$, 7
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,10,CMCI,B-APRD,UGRD,"CEPS"#$, 3
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,40,CMCI,B-APRD,UGRD,"CEPS"#$, 5
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,5,CMCI,B-APRD,UGRD,"CEPS"#$, 6
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,30,CMCI,B-APRD,UGRD,"BLDR"#$, 8
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,45,ENGR,B-CVEN,UGRD,"BLDR"#$, 1
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,30,ENGR,B-CVEN,UGRD,"BLDR"#$, 9
c83d5f85c7408463699185856a1f421b,22ac24603d303e389bb1c136f6db0505,30,ARSC,B-ARSC,UGRD,"CEPS"#$, 10
946e7297f0f40c2135a4ed1ef390eb5b,144b4b68008c4d08c37ec734f1c1f1e7,15,ARSC,B-ARSC,UGRD,"CEPS"#$, 1
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,30,ARSC,B-AAAH,GRAD,"BLDR"#$, 5
ef3f02d36c76920a0e17f84209127a1d,e661341dc42e61bf11354669d70e0dfc,30,ARSC,B-AAAH,UGRD,"BLDR"#$, 4
ef3f02d36c76920a0e17f84209127a1d,fe3318a167fcac5aac4320f07ed3a7ea,15,ARSC,B-AAAH,UGRD,"BLDR"#$, 6
b1377fa978880aeb2265a1d6276b5b67,4316544eb6945ecdf6d18b82df5679b7,20,ARSC,B-AAAH,UGRD,"CEPS"#$, 1
ef3f02d36c76920a0e17f84209127a1d,0eb3602dab7a976bc04c01ab8f28c231,18,ARSC,B-AAAH,UGRD,"CEPS"#$, 4
ef3f02d36c76920a0e17f84209127a1d,0eb3602dab7a976bc04c01ab8f28c231,18,ARSC,B-AAAH,UGRD,"BLDR"#$, 8
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,1,ARSC,B-AAAH,UGRD,"BLDR"#$, 6
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,25,ARSC,B-AAAH,UGRD,"BLDR"#$, 3
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,5,ARSC,B-AAAH,UGRD,"BLDR"#$, 10
946e7297f0f40c2135a4ed1ef390eb5b,144b4b68008c4d08c37ec734f1c1f1e7,1,ARSC,B-AAAH,GRAD,"CEPS"#$, 6
ee15b4985cdf7c138fdc9da5564cd76f,649f27af0e52d5a31841cc71d6300688,48,ENGR,B-ASEN,UGRD,"BLDR"#$, 4
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,100,ENGR,B-ASEN,UGRD,"BLDR"#$, 1
71189effb81ef7dfe88c60a711c9e6ad,a49438f945f3063e470c3bcb9fc2ce73,48,ENGR,B-ASEN,UGRD,"BLDR"#$, 6
65eb1e07fd913f23f21d0d593d535802,2ce048fc1e50ea9922ca9bb0d5938eeb,5,ENGR,B-ASEN,GRAD,"BLDR"#$, 3
65eb1e07fd913f23f21d0d593d535802,2ce048fc1e50ea9922ca9bb0d5938eeb,10,ENGR,B-ASEN,GRAD,"CEPS"#$, 10
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,100,ENGR,B-ASEN,GRAD,"BLDR"#$, 7
65eb1e07fd913f23f21d0d593d535802,2ce048fc1e50ea9922ca9bb0d5938eeb,15,ENGR,B-ASEN,GRAD,"CEPS"#$, 1
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,10,ARSC,B-ASIA,UGRD,"BLDR"#$, 1
b01bfeb1388a68372d8db0a97d21c593,3304b16a390f47b566583f4e91065531,48,ARSC,B-ASPS,UGRD,"BLDR"#$, 1
b405712d785647b1d503a863be07ec49,2b20170ed9bf0b6731dffdd7ba24ac55,20,ARSC,B-ASPS,UGRD,"BLDR"#$, 2
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,20,ARSC,B-ASPS,UGRD,"BLDR"#$, 5
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,20,ARSC,B-ASPS,GRAD,"BLDR"#$, 6
406fdd6674e94cd35a7bc81c96575136,cc6c31561dd2d530d12df7b51acfdb4d,40,ENGR,B-ATLS,UGRD,"BLDR"#$, 9
406fdd6674e94cd35a7bc81c96575136,a5727830e8b266f0b15676967b61a537,40,ENGR,B-ATLS,UGRD,"BLDR"#$, 8
406fdd6674e94cd35a7bc81c96575136,cbaccd6a04b6a459ba6c5249a9636dc0,30,ENGR,B-ATLS,UGRD,"BLDR"#$, 2
406fdd6674e94cd35a7bc81c96575136,cbaccd6a04b6a459ba6c5249a9636dc0,20,ENGR,B-ATLS,UGRD,"BLDR"#$, 9
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,10,ENGR,B-ATLS,UGRD,"BLDR"#$, 7
e55347b37413441eed9d27ab981b580b,f1c6167658063e0aa39ad2e85242bcb1,10,ENGR,B-ATLS,GRAD,"BLDR"#$, 4
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,5,ENGR,B-ATLS,GRAD,"BLDR"#$, 5
b01bfeb1388a68372d8db0a97d21c593,3304b16a390f47b566583f4e91065531,48,ARSC,B-ATOC,UGRD,"BLDR"#$, 4
b1377fa978880aeb2265a1d6276b5b67,4316544eb6945ecdf6d18b82df5679b7,35,ARSC,B-ATOC,UGRD,"CEPS"#$, 7
1148b0612b2dec6581f8599f2cab30cb,c393480934b82ee2dd0f4e8ac5c4438c,24,ARSC,B-ATOC,UGRD,"BLDR"#$, 8
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,5,ARSC,B-ATOC,UGRD,"CEPS"#$, 5
e55347b37413441eed9d27ab981b580b,f1c6167658063e0aa39ad2e85242bcb1,10,ARSC,B-ATOC,UGRD,"BLDR"#$, 4
e55347b37413441eed9d27ab981b580b,f1c6167658063e0aa39ad2e85242bcb1,999,ARSC,B-ATOC,GRAD,"BLDR"#$, 9
af517546ad5e7f489cefa84ee2e43e0d,53042620582ce02db420625692365f5c,35,BUSN,B-BADM,UGRD,"BLDR"#$, 4
af517546ad5e7f489cefa84ee2e43e0d,6d76e88e79ff7e1c61f664f0605738e1,35,BUSN,B-BADM,UGRD,"BLDR"#$, 4
af517546ad5e7f489cefa84ee2e43e0d,516a61e3f29bb0e00608b661fe4c7300,50,BUSN,B-BADM,UGRD,"BLDR"#$, 4
af517546ad5e7f489cefa84ee2e43e0d,0a04cc89124c9bbe3fe308e1a503025c,20,BUSN,B-BADM,UGRD,"BLDR"#$, 7
e55347b37413441eed9d27ab981b580b,f1c6167658063e0aa39ad2e85242bcb1,50,BUSN,B-BADM,UGRD,"CEPS"#$, 10
e55347b37413441eed9d27ab981b580b,f1c6167658063e0aa39ad2e85242bcb1,5,BUSN,B-BADM,UGRD,"BLDR"#$, 1
af517546ad5e7f489cefa84ee2e43e0d,4fe3f05ab6f1ef1f9258069255714eb8,42,BUSN,B-BCOR,UGRD,"BLDR"#$, 5
af517546ad5e7f489cefa84ee2e43e0d,9fa33cfdb8bfd7ce4078a50d1dbc78ec,35,BUSN,B-BCOR,UGRD,"BLDR"#$, 5
af517546ad5e7f489cefa84ee2e43e0d,3727b4ba46bc962e61cabdbe24bfe568,35,BUSN,B-BCOR,UGRD,"BLDR"#$, 8
af517546ad5e7f489cefa84ee2e43e0d,53042620582ce02db420625692365f5c,25,BUSN,B-BCOR,UGRD,"BLDR"#$, 4
af517546ad5e7f489cefa84ee2e43e0d,d08b26c55b6e8714e551be329f373c2c,25,BUSN,B-BCOR,UGRD,"BLDR"#$, 7
af517546ad5e7f489cefa84ee2e43e0d,53042620582ce02db420625692365f5c,40,BUSN,B-BCOR,UGRD,"BLDR"#$, 2
af517546ad5e7f489cefa84ee2e43e0d,32254e9dd7690ac24ba8809fc4734466,50,BUSN,B-BCOR,UGRD,"BLDR"#$, 8
af517546ad5e7f489cefa84ee2e43e0d,39db53e2a487c4953992b5b28fbf0fe1,40,BUSN,B-BCOR,UGRD,"BLDR"#$, 10
af517546ad5e7f489cefa84ee2e43e0d,72432eeaa7ade06d843f9f13fdf5c5ea,42,BUSN,B-BCOR,UGRD,"BLDR"#$, 1
af517546ad5e7f489cefa84ee2e43e0d,32254e9dd7690ac24ba8809fc4734466,42,BUSN,B-BCOR,UGRD,"BLDR"#$, 7
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,30,BUSN,B-BUSM,UGRD,"BLDR"#$, 10
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,2,BUSN,B-CESR,UGRD,"BLDR"#$, 2
3c28af74ad7ad27d6ce78f738cc0859b,a2fd23f13441c5281fc047fdc88e7042,32,ARSC,B-CHEM,UGRD,"BLDR"#$, 9
3c28af74ad7ad27d6ce78f738cc0859b,14d5ced278abe0cc5fed468028d92444,21,ARSC,B-CHEM,UGRD,"BLDR"#$, 9
3c28af74ad7ad27d6ce78f738cc0859b,dc2b37b4352a03aa206296b737aa6475,20,ARSC,B-CHEM,UGRD,"BLDR"#$, 6
3c28af74ad7ad27d6ce78f738cc0859b,a4836004f1feb302dc7341a24f576d79,22,ARSC,B-CHEM,UGRD,"BLDR"#$, 9
3c28af74ad7ad27d6ce78f738cc0859b,d5e8d8f069b89dd05024226ae25cf406,24,ARSC,B-CHEM,UGRD,"BLDR"#$, 10
3c28af74ad7ad27d6ce78f738cc0859b,fa6e412f60c0f7cb3edfc3f1fb044afb,23,ARSC,B-CHEM,UGRD,"BLDR"#$, 10
3c28af74ad7ad27d6ce78f738cc0859b,551dfa06c7cad9ae5333ae50aef6052d,30,ARSC,B-CHEM,UGRD,"BLDR"#$, 9
3c28af74ad7ad27d6ce78f738cc0859b,a3a83d3ecb0c434b04d380c3b357c88b,28,ARSC,B-CHEM,UGRD,"BLDR"#$, 10
3c28af74ad7ad27d6ce78f738cc0859b,0ed55d1edb7872b0f2fd1ee44a7a3c60,21,ARSC,B-CHEM,UGRD,"BLDR"#$, 6
3c28af74ad7ad27d6ce78f738cc0859b,c1fb124a3b2cb73b9ec974e8b4cc9bac,21,ARSC,B-CHEM,UGRD,"BLDR"#$, 9
3c28af74ad7ad27d6ce78f738cc0859b,248808f658126c29370593f4f80c35dc,21,ARSC,B-CHEM,UGRD,"BLDR"#$, 9
3c28af74ad7ad27d6ce78f738cc0859b,d4909e8fa3b67a6c87de5c0919da9ff6,21,ARSC,B-CHEM,UGRD,"BLDR"#$, 3
3c28af74ad7ad27d6ce78f738cc0859b,1c1dc28e634a3ab79e6d91dc5161c77e,21,ARSC,B-CHEM,UGRD,"BLDR"#$, 1
3c28af74ad7ad27d6ce78f738cc0859b,f2d2a35873d42c65e535b6b7d7b0e65a,21,ARSC,B-CHEM,UGRD,"BLDR"#$, 5
530caf54bd16b77742e7edeaa9d58390,af607a14079e91c8aa079fc2f3c00c4e,193,ARSC,B-CHEM,UGRD,"BLDR"#$, 10
3c28af74ad7ad27d6ce78f738cc0859b,ff0b67c14638addf449b474ee26d8dd3,20,ARSC,B-CHEM,UGRD,"BLDR"#$, 5
3c28af74ad7ad27d6ce78f738cc0859b,21720eea6ef141846b3324644addf94e,20,ARSC,B-CHEM,UGRD,"BLDR"#$, 8
3c28af74ad7ad27d6ce78f738cc0859b,5f00d1bf0f5ad9f963500afa464198f1,21,ARSC,B-CHEM,UGRD,"BLDR"#$, 10
3c28af74ad7ad27d6ce78f738cc0859b,a668fcebb35b48cce6beb9c792b36aa2,20,ARSC,B-CHEM,UGRD,"BLDR"#$, 5
25e478c439e00084111fb7249f734568,93f2b8736b0e7a72c514747b9bbea5db,193,ARSC,B-CHEM,UGRD,"BLDR"#$, 8
3c28af74ad7ad27d6ce78f738cc0859b,551dfa06c7cad9ae5333ae50aef6052d,23,ARSC,B-CHEM,UGRD,"BLDR"#$, 8
2b897a91acac44b276f3d614d6461c75,dfc0d6d229e27d18c3798860c7946e2e,46,ARSC,B-CHEM,UGRD,"BLDR"#$, 9
3c28af74ad7ad27d6ce78f738cc0859b,a2fd23f13441c5281fc047fdc88e7042,46,ARSC,B-CHEM,UGRD,"BLDR"#$, 2
39e9bd3c40359ee7864d5c81bcb20fc9,cf17baee0ad2e421549887c9527f3d77,68,ARSC,B-CHEM,UGRD,"BLDR"#$, 3
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,1,ARSC,B-CHEM,UGRD,"CEPS"#$, 10
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,5,ARSC,B-CHEM,UGRD,"CEPS"#$, 3
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,10,ARSC,B-CHEM,GRAD,"BLDR"#$, 4
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,100,ARSC,B-CHEM,GRAD,"BLDR"#$, 10
39e9bd3c40359ee7864d5c81bcb20fc9,a29ec19cdc61c6c1317eb99a0121e1ff,96,ENGR,B-CHEN,UGRD,"BLDR"#$, 5
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,10,ENGR,B-CHEN,UGRD,"BLDR"#$, 2
39e9bd3c40359ee7864d5c81bcb20fc9,cf17baee0ad2e421549887c9527f3d77,48,ENGR,B-CHEN,UGRD,"BLDR"#$, 10
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,5,ENGR,B-CHEN,UGRD,"CEPS"#$, 4
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,1,ENGR,B-CHEN,UGRD,"CEPS"#$, 8
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,10,ENGR,B-CHEN,GRAD,"BLDR"#$, 8
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,100,ARSC,B-ALAC,GRAD,"BLDR"#$, 6
c83d5f85c7408463699185856a1f421b,65ad8151cbf50b0a454a9e53ff9148f6,35,ARSC,B-CLAS,UGRD,"BLDR"#$, 2
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,15,ARSC,B-CLAS,UGRD,"BLDR"#$, 1
946e7297f0f40c2135a4ed1ef390eb5b,144b4b68008c4d08c37ec734f1c1f1e7,10,CMCI,B-DCMP,UGRD,"CEPS"#$, 4
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,30,CMCI,B-DCMP,UGRD,"BLDR"#$, 1
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,999,CONC,B-CONC,UGRD,"BLDR"#$, 6
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,999,CONC,B-CONC,GRAD,"BLDR"#$, 4
71189effb81ef7dfe88c60a711c9e6ad,12e2d901306753cb8059075c32a88fa1,40,ENGR,B-ENGS,UGRD,"BLDR"#$, 4
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,15,ENGR,B-ENGS,UGRD,"CEPS"#$, 1
6e39515d4c535859835ca3848661311c,28f9b959d833c9ead88c2303bd3a81a4,25,CMCI,B-COMN,UGRD,"BLDR"#$, 5
c83d5f85c7408463699185856a1f421b,f4c0d4ec49d83677681f16675400658b,20,CMCI,B-COMN,UGRD,"BLDR"#$, 9
b1377fa978880aeb2265a1d6276b5b67,4316544eb6945ecdf6d18b82df5679b7,35,CMCI,B-COMN,UGRD,"CEPS"#$, 3
2b897a91acac44b276f3d614d6461c75,9f9f873b805537faac045f1d14e4acd5,25,CMCI,B-COMN,UGRD,"BLDR"#$, 6
b1377fa978880aeb2265a1d6276b5b67,3c50ad22260915aad2532c999afa1486,25,CMCI,B-COMN,UGRD,"BLDR"#$, 4
3c28af74ad7ad27d6ce78f738cc0859b,f29b7c62e75b1217edd1a74d8808eb16,25,CMCI,B-COMN,UGRD,"BLDR"#$, 6
b01bfeb1388a68372d8db0a97d21c593,67594a2a1e74baf48d92ccad46a3969a,25,CMCI,B-COMN,UGRD,"BLDR"#$, 4
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,25,CMCI,B-COMN,UGRD,"BLDR"#$, 2
153d8a58725c1c6198ea3b1a6dd76d48,beb0988701c65c3408cda2f9e464135b,25,CMCI,B-COMN,UGRD,"BLDR"#$, 6
1148b0612b2dec6581f8599f2cab30cb,e48aa3850de1382f5ca24affa3832c52,25,CMCI,B-COMN,UGRD,"BLDR"#$, 7
c83d5f85c7408463699185856a1f421b,f4c0d4ec49d83677681f16675400658b,25,CMCI,B-COMN,UGRD,"BLDR"#$, 6
e885035c5649ec0b0230506a9ee6ab6a,c393480934b82ee2dd0f4e8ac5c4438c,25,CMCI,B-COMN,UGRD,"BLDR"#$, 7
3c28af74ad7ad27d6ce78f738cc0859b,f29b7c62e75b1217edd1a74d8808eb16,30,CMCI,B-COMN,UGRD,"BLDR"#$, 3
dbd5bd1d070e38f99e7fa880cfc656dc,678e91925060ceea136182ba222764be,25,CMCI,B-COMN,UGRD,"BLDR"#$, 9
e885035c5649ec0b0230506a9ee6ab6a,fad287bc8965e2e108b1595d3f3f34e8,24,CMCI,B-COMN,UGRD,"BLDR"#$, 5
9b76501e540d93c0f92e5bcb695611e8,346c12197846a6c1f7a6c62b226185c7,20,CMCI,B-COMN,UGRD,"BLDR"#$, 5
6e39515d4c535859835ca3848661311c,e13a43eb28b539960c90cbf2400173ac,25,CMCI,B-COMN,UGRD,"BLDR"#$, 2
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,100,CMCI,B-COMN,UGRD,"BLDR"#$, 10
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,35,CMCI,B-COMN,UGRD,"CEPS"#$, 10
e55347b37413441eed9d27ab981b580b,f1c6167658063e0aa39ad2e85242bcb1,15,CMCI,B-COMN,UGRD,"CEPS"#$, 2
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,50,CMCI,B-COMN,UGRD,"BLDR"#$, 5
b1377fa978880aeb2265a1d6276b5b67,3c50ad22260915aad2532c999afa1486,50,ENGR,B-CSCI,UGRD,"BLDR"#$, 7
71189effb81ef7dfe88c60a711c9e6ad,72eee348d0889e2baaf30bae13651403,50,ENGR,B-CSCI,UGRD,"BLDR"#$, 1
0c08448ccf2a95bce14e1139164a5337,5e0a2839c4dac81efb1803ee394ccce9,48,ENGR,B-CSCI,UGRD,"BLDR"#$, 4
71189effb81ef7dfe88c60a711c9e6ad,a49438f945f3063e470c3bcb9fc2ce73,48,ENGR,B-CSCI,UGRD,"BLDR"#$, 1
b01bfeb1388a68372d8db0a97d21c593,ca7784e920e355420e5ae35d2c08e474,40,ENGR,B-CSCI,UGRD,"BLDR"#$, 3
df088f528be1e00b78e132ae2da0283a,55667f818c0eff1743acd115e9bf93fa,40,ENGR,B-CSCI,UGRD,"BLDR"#$, 4
71189effb81ef7dfe88c60a711c9e6ad,655c5d065e2a811c59d452c02a32824c,48,ENGR,B-CSCI,UGRD,"BLDR"#$, 4
71189effb81ef7dfe88c60a711c9e6ad,12e2d901306753cb8059075c32a88fa1,40,ENGR,B-CSCI,UGRD,"BLDR"#$, 9
71189effb81ef7dfe88c60a711c9e6ad,72eee348d0889e2baaf30bae13651403,48,ENGR,B-CSCI,UGRD,"BLDR"#$, 1
af517546ad5e7f489cefa84ee2e43e0d,e661341dc42e61bf11354669d70e0dfc,25,ENGR,B-CSCI,UGRD,"BLDR"#$, 6
ff180ce772eec022440861d1e825d9fa,46d6b28d4df194c3048700db7e402162,20,ENGR,B-CSCI,UGRD,"BLDR"#$, 2
71189effb81ef7dfe88c60a711c9e6ad,c519d1597722c1cb81c1f2003d62a764,25,ENGR,B-CSCI,UGRD,"BLDR"#$, 9
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,10,ENGR,B-CSCI,UGRD,"BLDR"#$, 1
65eb1e07fd913f23f21d0d593d535802,2ce048fc1e50ea9922ca9bb0d5938eeb,30,ENGR,B-CSCI,GRAD,"BLDR"#$, 4
65eb1e07fd913f23f21d0d593d535802,2ce048fc1e50ea9922ca9bb0d5938eeb,60,ENGR,B-CSCI,GRAD,"CEPS"#$, 7
65eb1e07fd913f23f21d0d593d535802,2ce048fc1e50ea9922ca9bb0d5938eeb,10,ENGR,B-CSCI,GRAD,"CEPS"#$, 1
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,10,ENGR,B-CSCI,GRAD,"BLDR"#$, 10
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,15,ENGR,B-CSCI,GRAD,"BLDR"#$, 8
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,100,ENGR,B-CSCI,GRAD,"BLDR"#$, 7
e55347b37413441eed9d27ab981b580b,f1c6167658063e0aa39ad2e85242bcb1,27,ENGR,B-CSCI,GRAD,"CEPS"#$, 3
e55347b37413441eed9d27ab981b580b,f1c6167658063e0aa39ad2e85242bcb1,28,ENGR,B-CSCI,GRAD,"CEPS"#$, 1
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,30,CRSS,B-CSVC,UGRD,"CEPS"#$, 6
98e9df6cb82daa8496f978d7b2926054,12d58876d4cd7bbc7db703c5065191c6,25,ENGR,B-CVEN,UGRD,"BLDR"#$, 6
71189effb81ef7dfe88c60a711c9e6ad,72eee348d0889e2baaf30bae13651403,48,ENGR,B-CVEN,UGRD,"BLDR"#$, 5
71189effb81ef7dfe88c60a711c9e6ad,72eee348d0889e2baaf30bae13651403,25,ENGR,B-CVEN,UGRD,"BLDR"#$, 1
946e7297f0f40c2135a4ed1ef390eb5b,144b4b68008c4d08c37ec734f1c1f1e7,40,ENGR,B-CVEN,UGRD,"CEPS"#$, 2
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,25,ENGR,B-CVEN,UGRD,"BLDR"#$, 8
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,1,ENGR,B-CVEN,UGRD,"CEPS"#$, 9
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,5,ENGR,B-CVEN,UGRD,"CEPS"#$, 9
90588a012293e8b81fad167b9cce60b6,21b6899f9faacc258ac6945861855957,10,ENGR,B-CVEN,UGRD,"BLDR"#$, 1
